0% quantile: LV Network: 1101,25% quantile: LV Network: 1101,50% quantile: LV Network: 1101,75% quantile: LV Network: 1101,100% quantile: LV Network: 1101,0% quantile: LV Network: 1103,25% quantile: LV Network: 1103,50% quantile: LV Network: 1103,75% quantile: LV Network: 1103,100% quantile: LV Network: 1103,0% quantile: LV Network: 1105,25% quantile: LV Network: 1105,50% quantile: LV Network: 1105,75% quantile: LV Network: 1105,100% quantile: LV Network: 1105
9.773136100058811282e-01,1.016702782908339708e+00,1.042360069996620897e+00,1.054156836754024607e+00,1.082901606945436468e+00,9.712941278581894711e-01,9.904506863645794468e-01,1.011011456522170837e+00,1.039137808390815820e+00,1.091326121950567440e+00,8.243805220203747064e-01,9.572806580745778504e-01,1.009809342389927256e+00,1.040659820367709543e+00,1.079221788574290963e+00
9.952093246447926145e-01,1.024607007979470907e+00,1.047698617486452211e+00,1.063252204099734310e+00,1.089603681669552460e+00,9.709536116651749094e-01,1.010159065317312255e+00,1.016064876057153787e+00,1.043470248603799444e+00,1.095506020511132883e+00,8.362793420835722413e-01,9.756301669158949919e-01,1.028620626402796168e+00,1.042578294935805117e+00,1.082593659738729119e+00
9.954468537626320890e-01,1.023281429499197870e+00,1.048950235778545403e+00,1.063267233628090391e+00,1.092914132459543275e+00,9.773797882100145884e-01,1.015947924102063693e+00,1.021563887221116351e+00,1.041682376943684929e+00,1.093177179242419195e+00,8.448316454233542050e-01,9.712633063605605743e-01,1.021913463868465710e+00,1.046429556945669637e+00,1.083684572326210516e+00
1.007011416087834288e+00,1.025396028688201788e+00,1.052956068276052592e+00,1.069084647816081368e+00,1.098431181122992761e+00,1.002510971793293182e+00,1.027600233856014622e+00,1.036152194050930175e+00,1.043818850872214377e+00,1.091894421788872638e+00,8.454480766523537749e-01,9.773385346159504383e-01,1.016962310231051880e+00,1.056965888043572832e+00,1.088511477202667832e+00
1.004859712695423068e+00,1.021162229923499476e+00,1.048086272494881177e+00,1.068628309210632121e+00,1.098393839576201625e+00,1.008360583166328261e+00,1.029954481640884767e+00,1.039437819580689482e+00,1.051558721160308352e+00,1.072810643240977191e+00,7.737643844543661276e-01,9.795976197922048323e-01,1.001719014500846994e+00,1.059219804310075341e+00,1.091837304420685717e+00
1.013345886152010600e+00,1.035140260593772066e+00,1.051004231021623880e+00,1.077175286310680491e+00,1.102431266446856517e+00,1.034307582480116894e+00,1.038463370943695452e+00,1.043080048404090077e+00,1.055299525093823743e+00,1.074997708828980159e+00,7.118119438144981936e-01,9.799333096117260888e-01,1.016844067125391771e+00,1.068753850418998175e+00,1.108060751827823376e+00
1.022372934093471741e+00,1.043832397228736664e+00,1.055155553278715796e+00,1.080948414550493730e+00,1.104531810772942491e+00,1.033833564739911726e+00,1.044532180608136684e+00,1.049826495048155284e+00,1.058427383342981365e+00,1.073736985009525968e+00,7.596557358335672694e-01,9.959575666465253496e-01,1.027721420524962292e+00,1.074900939916009435e+00,1.097574322342580233e+00
1.037966828970243505e+00,1.048990808422989751e+00,1.057117801454803274e+00,1.083327436473356720e+00,1.098203758132527019e+00,1.042936286722960793e+00,1.052570041606958995e+00,1.057923790265314468e+00,1.066569680475935922e+00,1.079564190711650662e+00,8.086253674354202392e-01,1.015863437969658278e+00,1.045973942690358927e+00,1.074587146981180519e+00,1.092104163959952023e+00
1.029260253658189628e+00,1.056029785695250744e+00,1.063728675474999941e+00,1.088544748276048635e+00,1.102377165356519972e+00,1.048059786539435212e+00,1.060752731828365825e+00,1.068235027421041261e+00,1.075637029997857042e+00,1.089024956326262616e+00,8.784624996004750663e-01,1.023807495561555259e+00,1.056732989987381632e+00,1.074662930141879524e+00,1.094192212321904334e+00
1.023894527128613507e+00,1.055982231251455294e+00,1.063438821528649214e+00,1.080438930571054446e+00,1.095148972072442106e+00,1.046100029840985712e+00,1.054581029248380819e+00,1.062934821612594449e+00,1.069784635441739518e+00,1.085668928907510322e+00,9.987694822612356305e-01,1.027780134754928465e+00,1.041679581759128892e+00,1.068732323646292892e+00,1.087866275954864292e+00
1.023977816275706054e+00,1.057021536454293642e+00,1.069570407428846126e+00,1.080712341934020326e+00,1.094629203126543437e+00,1.048983666272573112e+00,1.057273194514681602e+00,1.062031993453736556e+00,1.072100605028590392e+00,1.089412245520417821e+00,9.933355160045180821e-01,1.032100797608612286e+00,1.048032332729907035e+00,1.069490672213520233e+00,1.089288898755635948e+00
